"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","MasterPrice","SalePrice","MasterSalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID","Sizes"
"540376C","FMP540376C","Offline","Chuck Taylor Leather Side Zip","Pinecone","Hi","Leather","Women","All Star","Sneakers","Chuck Taylor - Iterations","Rock Craftmanship",,"regular","Womens Size Chart","Runs true to size",,80,,0,,,10/01/13,"13 Holiday","Runout",295,,,,,,,,,"pending","N",,,"030,040,050"
"540375C","FMP540375C","Offline","Chuck Taylor Leather Side Zip","Black","Hi","Leather","Women","All Star","Sneakers","Chuck Taylor - Iterations","Rock Craftmanship",,"regular","Womens Size Chart","Runs true to size",,80,,0,,,10/01/13,"13 Holiday","Runout",431,,,,,,,,,"pending","N",,,"030,040,050"
"540367C","MP_2038","Offline","Chuck Taylor All Star Collar Studs","Egret","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Collar Studs",,"regular","Womens Size Chart","Runs true to size",,75,,0,,,07/01/13,"13 Fall","Runout",710,,,,,,,,,"pending","N",,,"030,040,050"
"540366C","MP_2038","Offline","Chuck Taylor All Star Collar Studs","Black","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Collar Studs",,"regular","Womens Size Chart","Runs true to size",,75,,0,,,07/01/13,"13 Fall","Runout",774,,,,,,,,,"pending","N",,,"030,040,050"
"540365C","FMP540365C","Offline","Chuck Taylor All Star Platform Zip","Egret","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Platform",,"regular","Womens Size Chart","Runs true to size",,85,,0,,,07/01/13,"13 Fall","Runout",258,,,,,,,,,"pending","N",,,"030,040,050"
"540364C","FMP540364C","Offline","Chuck Taylor All Star Platform Zip","Black","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Platform",,"regular","Womens Size Chart","Runs true to size",,85,,0,,,07/01/13,"13 Fall","Runout",323,,,,,,,,,"pending","N",,,"030,040,050"
"540363F","FMP540363F","Offline","Chuck Taylor Double Tongue","Grey","Low","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Washed Neon",,"regular","Womens Size Chart","Runs true to size",,50,,0,,,12/01/13,"13 Holiday","Runout",514,,,,,,,,,"pending","N",,,"030,040,050"
"540362C","FMP540362C","Offline","Chuck Taylor Metallic Two Fold","Charcoal Grey ","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Metallic",,"regular","Womens Size Chart","Runs true to size",,65,,0,,,07/01/13,"13 Fall","Runout",387,,,,,,,,,"pending","N",,,"030,040,050"
"540342C","FMP540342C","Offline","Jack Purcell Jane","Egret","Low","Cotton","Women","JACK PURCELL","Sneakers","Jack Purcell?","Polka Dot",,"regular","Womens Size Chart","Runs true to size",,65,,0,,,07/01/13,"13 Fall","Runout",90,,,,,,,,,"pending","N",,,"030,040,050"
"540341C","FMP540341C","Offline","Jack Purcell Jane","Navy","Low","Cotton","Women","JACK PURCELL","Sneakers","Jack Purcell?","Polka Dot",,"regular","Womens Size Chart","Runs true to size",,65,,0,,,07/01/13,"13 Fall","Runout",90,,,,,,,,,"pending","N",,,"030,040,050"
